"","obsid","species","duration","attempts","Rinter","Rintra","Iinter","Iintra","Successes","rsa","roa","isa","ioa"
"238","010124Tit","D. mer",01:05:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"239","010124Tit","D. mer",03:50:00,3,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE
"240","010124Tit","M. fort",01:30:00,4,0,0,0,0,4,FALSE,FALSE,FALSE,FALSE
"241","010125Lab","Phleg",03:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"242","010125Lab","Phleg",05:00:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"243","010125Lab","Phleg",05:00:00,8,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE
"244","010125Tit","G. sal",04:00:00,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"245","010125Tit","Rheg",02:35:00,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"246","010125Tit","G. sal",02:10:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"247","010125Tit","Phleg",02:10:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"248","010125Tit","G. sal",02:40:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"249","010125Tit","Rheg",04:00:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"250","010125Tit","G. sal",02:10:00,3,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE
"251","010126Izu","Phleg",02:10:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"252","010126Izu","D. mer",03:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"253","010126Izu","D. mer",01:10:00,0,0,1,0,0,0,FALSE,TRUE,FALSE,FALSE
"254","010126Izu","D. mer",04:00:00,0,0,1,0,0,0,FALSE,TRUE,FALSE,FALSE
"255","010126Izu","D. mer",02:30:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"256","010126Izu","D. mer",04:00:00,1,0,1,0,0,1,FALSE,TRUE,FALSE,FALSE
"257","010126Izu","D. mer",04:00:00,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE
"258","010126Izu","M. fort",01:00:00,3,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE
"259","010126Izu","D. mer",04:00:00,3,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE
"260","010126Izu","M. fort",01:50:00,4,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE
"261","010126Izu","D. mer",04:00:00,5,0,1,0,0,4,FALSE,TRUE,FALSE,FALSE
"262","010127Lab","D. mer",01:30:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"263","010127Lab","D. mer",05:00:00,3,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"264","010129Izu","Rheg",01:53:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"265","010129Izu","G. sal",04:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"266","010129Izu","D. mer",04:45:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
